"logsd"	"sample"
-0.0922288495616379	"whole"
-0.211936486781105	"whole"
-0.0152937304184279	"whole"
0.0783297034704821	"whole"
0.12914852995517	"whole"
-0.114461693368926	"whole"
-0.417236091413585	"whole"
-0.0706296829940203	"whole"
-0.323907187563892	"whole"
-0.715203531976313	"whole"
-1.77311896141377	"whole"
-0.593403061725616	"whole"
-0.467836671020877	"whole"
-1.12114880430133	"whole"
-0.149450208258032	"whole"
-0.0813738785484041	"whole"
-0.451325981304357	"whole"
-1.13233000843807	"whole"
-0.815190326505992	"whole"
-1.11027436506771	"whole"
-0.881816079660195	"whole"
-0.578173014934732	"whole"
-1.24111367811005	"whole"
-0.383140158376066	"whole"
-0.376176918023938	"whole"
-0.356623298381698	"whole"
-0.164240684694228	"whole"
-0.607716397247088	"whole"
-0.738951125614417	"whole"
-0.383789842901922	"whole"
-0.0818482743010486	"whole"
-0.832545830299909	"whole"
-0.161213322335093	"whole"
0.442181929140332	"whole"
0.0765673857700989	"whole"
-0.0945840370839073	"whole"
-0.263992043381288	"whole"
-0.681093568231352	"whole"
-1.07731383313996	"whole"
-0.796355186992078	"whole"
0.123181990997724	"whole"
-0.895358376506351	"whole"
-1.16719840460604	"whole"
-0.537438170894519	"whole"
-0.56059455335679	"whole"
-1.02740548535043	"whole"
-0.837280063419368	"whole"
-0.784191186385157	"whole"
-0.943342520232709	"whole"
-1.88837982580243	"whole"
0.0367064289249653	"whole"
-0.569073063058819	"whole"
-0.698538679117408	"whole"
-0.544458473247479	"whole"
-0.715478408354059	"whole"
-0.791223307923648	"whole"
-0.441169920020698	"whole"
-1.89283909850099	"whole"
-0.631023467996805	"whole"
0.335564544611398	"whole"
-1.05755690519929	"whole"
-0.247594481717904	"whole"
-0.443553056247328	"whole"
0.105335947350669	"whole"
-0.798188210784318	"whole"
-0.925797765517715	"whole"
-1.04948850726754	"whole"
-0.898010184696358	"whole"
-1.23261436899468	"whole"
-0.712953288875563	"whole"
-0.669844438507248	"whole"
-1.06604282821598	"whole"
-0.711748999727829	"whole"
-1.08462984259746	"whole"
-1.10045193265168	"whole"
-0.136958372220038	"whole"
-0.11853336065806	"whole"
-0.191432241423083	"whole"
-1.42536720697195	"whole"
-1.02924099969939	"whole"
-1.70590137452168	"whole"
-1.72732633240646	"whole"
-0.947632422627542	"whole"
-0.602869468398162	"whole"
-0.965072378083447	"whole"
-0.489046104946283	"whole"
-0.498695838663559	"whole"
-0.587842823684234	"whole"
-1.32741194211485	"whole"
-0.786391395744225	"whole"
-0.785425868723766	"whole"
-0.828439692352235	"whole"
-0.788253284443863	"whole"
-0.645491421871549	"whole"
-0.773421429701168	"whole"
-0.560123268374491	"whole"
-2.10554253304575	"whole"
-1.10123012012593	"whole"
-1.12925610586091	"whole"
-1.07498748019654	"whole"
-0.601666271209098	"whole"
-0.662412590197581	"whole"
-1.70847118262878	"whole"
-0.481637545457535	"whole"
1.71183226089899	"whole"
-0.364578419426282	"whole"
-2.45426491491318	"whole"
-1.19993484690021	"whole"
-0.641585268835961	"whole"
-1.06127839667555	"whole"
-1.27982376820738	"whole"
-1.30956295763601	"whole"
-1.2099019287641	"whole"
-1.26932098263626	"whole"
-1.03020700130756	"whole"
-1.19381632689911	"whole"
-1.06086311361543	"whole"
-0.693000323335023	"whole"
-0.761411933865872	"whole"
-0.943745278807269	"whole"
-1.7447075788433	"whole"
-0.912500994053977	"whole"
-0.528000749188777	"whole"
-0.594519973975839	"whole"
-0.473303606303303	"whole"
-1.0061976682409	"whole"
-0.254164424728584	"whole"
-0.603281007568414	"whole"
-0.78685949907353	"whole"
-0.995150021015387	"whole"
-1.00227662212708	"whole"
-0.945947855673049	"whole"
-0.610436685202794	"whole"
-0.632541951895588	"whole"
-1.11302519392004	"whole"
-0.598023580153436	"whole"
-1.26122021011502	"whole"
-0.920383382831953	"whole"
-1.04827419744996	"whole"
-0.370348872722099	"whole"
-0.373120304075618	"whole"
-1.58278335917564	"whole"
-0.866648302398021	"whole"
-0.809778505977536	"whole"
-0.97623362539287	"whole"
-0.259449769939047	"whole"
-1.12864582967887	"whole"
-1.13481047126937	"whole"
-0.468210831571073	"whole"
-0.753053519376343	"whole"
-0.198147120425652	"whole"
-0.868659738502031	"whole"
-0.349752615171865	"whole"
0.176631865107486	"whole"
-0.713115744134604	"whole"
-0.499324738526387	"whole"
-0.521347512707635	"whole"
-0.759551270249798	"whole"
-0.945979352925553	"whole"
-1.39902236617647	"whole"
-1.21520991505475	"whole"
0.153211913146978	"whole"
-0.930793342476936	"whole"
-1.28347120896654	"whole"
-0.745064315852722	"whole"
-0.0224240401889065	"whole"
-0.402776152883205	"whole"
-0.201458095554958	"whole"
-1.0293855836921	"whole"
-0.865044932485385	"whole"
-0.990111499012945	"whole"
-0.55196153793159	"whole"
-0.945001624651416	"whole"
-0.991900820226313	"whole"
-0.941432625261076	"whole"
-0.936517368049461	"whole"
-1.03767735458872	"whole"
-0.545943359423287	"whole"
-0.583713504138656	"whole"
-0.984267396293082	"whole"
-0.877037591170261	"whole"
-0.531213030644623	"whole"
-2.16755713908409	"whole"
-0.694894777168311	"whole"
-0.636989489254199	"whole"
-1.14236312358899	"whole"
-1.87746897164997	"whole"
-0.512565605816372	"whole"
-0.691995650845442	"whole"
-0.459947821728667	"whole"
-1.28783928629369	"whole"
-0.505776230230384	"whole"
-0.0944849796254933	"whole"
-0.792239776515593	"whole"
-0.347035492077232	"whole"
-0.923872480996079	"whole"
-0.787635073249469	"whole"
-1.11244133821017	"whole"
-1.14560001212715	"whole"
-1.15991464841451	"whole"
-0.257065733993476	"whole"
-0.265984896723101	"whole"
-0.858547694645346	"whole"
-0.77190412861809	"whole"
-0.727197343135103	"whole"
-0.651723933222082	"whole"
-2.32916916012954	"whole"
-0.842370273345766	"whole"
-0.420479458803157	"whole"
-0.382756272744129	"whole"
-0.30980694581176	"whole"
-0.450538757724885	"whole"
-1.00093190861458	"whole"
-0.193531656678763	"whole"
-0.750523829815434	"whole"
-0.626332885488827	"whole"
-0.582304611200619	"whole"
0.0428110814331355	"whole"
-0.758450361037634	"whole"
-0.730833629194016	"whole"
-0.172493286529849	"whole"
0.205600796239111	"whole"
-1.36525038691389	"whole"
-1.9075845690825	"whole"
-0.488943306402276	"whole"
0.379689789996813	"whole"
-0.743146006688217	"whole"
-0.509211009618183	"whole"
-0.473976646396441	"whole"
-0.122103602774937	"whole"
-0.0728754394895602	"whole"
-0.00558167685228627	"whole"
-0.473665295612114	"whole"
-1.48333596075486	"whole"
-1.24328129848901	"whole"
-1.35982691644317	"whole"
-0.585704392686931	"whole"
0.0460298877632838	"whole"
-0.216562607862781	"whole"
1.73652872587848	"depleted"
-0.829635809680128	"depleted"
1.36577598727535	"depleted"
0.186014757620475	"depleted"
0.963357053713928	"depleted"
-0.542049637196372	"depleted"
-0.311841029838832	"depleted"
-0.541214198724946	"depleted"
-0.105558931742065	"depleted"
-0.337434279163382	"depleted"
-0.548949800360396	"depleted"
-0.491595072489105	"depleted"
-2.65828684055393	"depleted"
-2.16298487102644	"depleted"
-0.404270400056727	"depleted"
-0.689245900089001	"depleted"
-0.707317481130144	"depleted"
-0.208867642094348	"depleted"
-0.791534949880652	"depleted"
-0.284009980669114	"depleted"
0.414019360707077	"depleted"
-0.102564254803261	"depleted"
-0.0254626370376251	"depleted"
-0.678174867508579	"depleted"
-0.123970671846571	"depleted"
0.122486193758016	"depleted"
-0.790218950685254	"depleted"
0.171272788150725	"depleted"
-0.00688969837271607	"depleted"
0.449814742432747	"depleted"
-1.53614565921827	"depleted"
-0.0587172466871833	"depleted"
0.10446684950484	"depleted"
-0.194935918023746	"depleted"
-0.770888982255833	"depleted"
0.00734563289348763	"depleted"
0.180958750328232	"depleted"
-1.4024985089094	"depleted"
-0.684045046494759	"depleted"
-2.63929959249504	"depleted"
-1.11033800638234	"depleted"
-1.47432942077556	"depleted"
-0.738972441147663	"depleted"
-0.823107010078038	"depleted"
-0.488550918735318	"depleted"
-0.723817516140134	"depleted"
-0.308946056536272	"depleted"
-0.841707348864103	"depleted"
-0.524381110632493	"depleted"
0.0137717587912975	"depleted"
-0.0337014826958039	"depleted"
-1.44226662764841	"depleted"
-0.991349011809809	"depleted"
-0.947436902404186	"depleted"
-0.517361074724784	"depleted"
0.15060396498345	"depleted"
-1.0893935598694	"depleted"
-2.03055088372666	"depleted"
-0.326583256788848	"depleted"
-2.1072692235253	"depleted"
-1.2570877204019	"depleted"
-0.894584221542063	"depleted"
0.0436443594569748	"depleted"
0.110052307279909	"depleted"
-1.47946405542788	"depleted"
-1.22136685300842	"depleted"
-0.9778100005565	"depleted"
-1.15398122290199	"depleted"
-0.892136886766012	"depleted"
-0.627496066543756	"depleted"
-1.13552211547139	"depleted"
-0.544824004292042	"depleted"
-0.661530114571427	"depleted"
-0.324225013203723	"depleted"
-0.389514491437113	"depleted"
-0.902919326442328	"depleted"
0.47115252177956	"depleted"
-0.719465519397243	"depleted"
-0.325869397120217	"depleted"
-1.34589440919069	"depleted"
-0.602636148056566	"depleted"
-0.610204042776005	"depleted"
-0.630200910469341	"depleted"
-0.94159060495676	"depleted"
-1.2184373844728	"depleted"
-0.304869927954262	"depleted"
-0.483669589581149	"depleted"
-0.607798532602338	"depleted"
-1.37892245609335	"depleted"
-0.709408178513599	"depleted"
-0.772381243206697	"depleted"
-1.13061624123943	"depleted"
-1.25571622789803	"depleted"
0.0611857361630776	"depleted"
-0.723369884753072	"depleted"
-1.61894538399053	"depleted"
-1.93599048971848	"depleted"
-1.39167086377748	"depleted"
-0.720164956078896	"depleted"
-1.23813254529589	"depleted"
-0.664778360420842	"depleted"
-1.35504071954623	"depleted"
-1.1753389893356	"depleted"
-0.509211109934288	"depleted"
3.8766426849241	"depleted"
0.273138358465995	"depleted"
-0.952832737676778	"depleted"
2.59316218527658	"depleted"
-0.317125175853212	"depleted"
-0.133228994953653	"depleted"
-0.969778254934008	"depleted"
-0.376496221695254	"depleted"
-0.944554527431571	"depleted"
-0.629138870156332	"depleted"
-1.39093667299536	"depleted"
-0.495225943219245	"depleted"
-1.28120032598517	"depleted"
-0.639683357750111	"depleted"
-1.36766505410261	"depleted"
-1.06151735807141	"depleted"
-0.25334257195277	"depleted"
-0.218010388886438	"depleted"
-0.426468350959311	"depleted"
-0.484362429036077	"depleted"
-0.367470469351734	"depleted"
-1.33768566423834	"depleted"
-0.73865401023867	"depleted"
-0.109662000029578	"depleted"
-0.893668639648442	"depleted"
-0.727851150103867	"depleted"
-0.75831620600482	"depleted"
1.86084854963049	"depleted"
-0.206760634105598	"depleted"
-2.08252783077318	"depleted"
-1.48625733814469	"depleted"
-0.412870722204855	"depleted"
-0.829688235535607	"depleted"
-1.13152234821639	"depleted"
-0.82051295379952	"depleted"
-0.576156452694804	"depleted"
-0.503441107529046	"depleted"
-0.463974262806422	"depleted"
-1.37548318578647	"depleted"
-0.779916240533452	"depleted"
-0.70999833631657	"depleted"
-1.32621330307699	"depleted"
-0.494438944527052	"depleted"
-0.732908272946196	"depleted"
-0.625554085277369	"depleted"
-0.644520486557229	"depleted"
-0.255006381177985	"depleted"
-0.68539573361483	"depleted"
-0.114026517768056	"depleted"
-0.860415985781185	"depleted"
-0.631231377433173	"depleted"
-0.64095599433039	"depleted"
-1.20088243860462	"depleted"
-1.43568865315837	"depleted"
-0.880564728120019	"depleted"
-1.14553918944058	"depleted"
-1.19505895697346	"depleted"
-0.632459841892819	"depleted"
-1.04913720069965	"depleted"
-1.17486736956586	"depleted"
-0.278004228707621	"depleted"
-0.189268341636805	"depleted"
-0.220457856179614	"depleted"
-0.257749543400768	"depleted"
-0.558164076002477	"depleted"
-0.813508906502493	"depleted"
-1.51482031153897	"depleted"
-0.678424359725032	"depleted"
-1.19071224787759	"depleted"
-1.27573949835043	"depleted"
-0.723821444567079	"depleted"
-0.881587083119274	"depleted"
-1.18768610282192	"depleted"
-1.2108037165549	"depleted"
-1.3356698615622	"depleted"
-1.38358789790869	"depleted"
-1.45049418172183	"depleted"
-1.30512832677844	"depleted"
-2.57332326037864	"depleted"
-1.20760298024308	"depleted"
-1.03915901550757	"depleted"
-0.989136267994658	"depleted"
-0.521349818330573	"depleted"
-1.27809870164075	"depleted"
-1.07497118125007	"depleted"
-1.09309631472412	"depleted"
-0.985363513487852	"depleted"
-0.998697904626719	"depleted"
-0.864018538878142	"depleted"
-0.20254374285167	"depleted"
-0.0865701911897626	"depleted"
-0.444247871069927	"depleted"
-1.17250850286431	"depleted"
-0.598149719556502	"depleted"
-1.03789144733974	"depleted"
-0.76042221541372	"depleted"
-0.164405478180989	"depleted"
-0.285920198076711	"depleted"
-0.756130115230028	"depleted"
-0.623040626201147	"depleted"
-0.314299841615744	"depleted"
-0.130649326652903	"depleted"
-0.270249049975657	"depleted"
-0.415120050238891	"depleted"
-0.328479599105865	"depleted"
-0.118650932532324	"depleted"
-0.166164471531017	"depleted"
-0.581187831413389	"depleted"
-0.124349365047477	"depleted"
0.152816705580387	"depleted"
0.233873769143992	"depleted"
0.264415680381438	"depleted"
-0.0549381889239989	"depleted"
-0.243581328797444	"depleted"
0.367127067150808	"depleted"
-0.597886272002323	"depleted"
-1.02742193106236	"depleted"
-0.272905816539285	"depleted"
-0.455384212460798	"depleted"
1.46600935380248	"depleted"
0.0519336883004843	"depleted"
0.455680052226376	"depleted"
-0.0221840498716583	"depleted"
0.45559497102645	"depleted"
0.108238102169156	"depleted"
-0.530882010720992	"depleted"
0.285577026871917	"depleted"
0.521125204118606	"depleted"
0.614233855264283	"depleted"
-0.331158090850766	"depleted"
-0.108992039309184	"depleted"
-0.0667242692890537	"depleted"
0.100737734326544	"depleted"
1.11124051791272	"depleted"
-0.753160692942375	"depleted"
