BVAExport,Image,Gel_1_Run_1_Pig_1807_45034 CY3.gel,,Gel_1_Run_1_Pig_1807_45034 CY5.gel,,Gel_1_Run_2_Pig_1807_45046 CY3.gel,,Gel_1_Run_2_Pig_1807_45046 CY5.gel,,Gel_2_Run_1_4810_45035 CY3.gel,,Gel_2_Run_1_4810_45035 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_3_Run_1_Pig_1209_45036 CY3.gel,,Gel_3_Run_1_Pig_1209_45036 CY5.gel,,Gel_3_Run_2_Pig_1209_45048 CY3.gel,,Gel_3_Run_2_Pig_1209_45048 CY5.gel,,Gel_4_Run_1_Pig_1906_45037 CY3.gel,,Gel_4_Run_1_Pig_1906_45037 CY5.gel,,Gel_4_Run_2_Pig_1906_45049 CY3.gel,,Gel_4_Run_2_Pig_1906_45049 CY5.gel,,Gel_5_Run_1_Pig_3908_45038 CY3.gel,,Gel_5_Run_1_Pig_3908_45038 CY5.gel,,Gel_5_Run_2_Pig_3908_45050 CY3.gel,,Gel_5_Run_2_Pig_3908_45050 CY5.gel,,Gel_6_Run_1_Pig_3106_45039 CY3.gel,,Gel_6_Run_1_Pig_3106_45039 CY5.gel,,Gel_6_Run_2_Pig_3106_45051 CY3.gel,,Gel_6_Run_2_Pig_3106_45051 CY5.gel,,Gel_7_Run_1_Pig_2107_45040 CY3.gel,,Gel_7_Run_1_Pig_2107_45040 CY5.gel,,Gel_7_Run_2_Pig_2107_45052 CY3.gel,,Gel_7_Run_2_Pig_2107_45052 CY5.gel,,Gel_8_Run_1_Pig_2712_45041 CY3.gel,,Gel_8_Run_1_Pig_2712_45041 CY5.gel,,Gel_8_Run_2_Pig_2712_44495 CY3.gel,,Gel_8_Run_2_Pig_2712_44495 CY5.gel,
,Group,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,
Master No.,ProteinID,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume
484,,,,,,,,,,-1.556879,1791314,1.328174,174235,-1.48517,2380599,1.396964,226096,3.476877,786412,-2.004518,1435991,,,,,,,,,-2.907977,1128076,-1.33526,83643,1.905448,854037,-4.096217,853980,1.323032,1005707,-3.59353,937302,-1.632955,3115455,1.373846,282607,-2.036376,1776641,1.002637,191067,,,,,,,,,1.873496,8206182,2.336035,479044,1.702635,7238668,2.141121,462467
483,,1.529011,222397,-1.829442,436301,1.163988,244917,1.185599,647397,2.420311,10597547,1.419671,292399,4.898466,9720887,1.340171,121745,5.340693,763036,-1.824787,996406,,,,,1.097775,4867707,1.801801,317371,1.240959,3107184,2.339374,199423,2.43965,809267,-1.048654,2468784,1.622964,618205,-1.019552,1655441,1.205147,3626276,1.836262,223411,1.357095,3326650,2.909362,375646,,,,,1.852771,512472,-6.748713,354825,1.272249,3572801,1.672578,219903,1.451355,2863640,1.781219,178552
482,,1.811213,385359,1.50412,1756164,1.059533,225073,2.103788,1159774,4.667645,9962773,1.150591,115520,,,,,,,,,,,,,2.139523,4549627,1.091651,92213,2.222114,4749381,1.423756,103603,2.914699,608087,1.5102,2458995,1.650362,200513,2.544653,1369908,,,,,,,,,,,,,,,,,3.218777,2485770,2.370271,85699,1.837583,2700851,1.511416,112860
481,,1.663236,1451311,-3.33986,1433721,1.178273,859971,-2.396548,790341,,,,,1.416194,3221535,1.44887,150874,4.114674,509535,-2.922482,539247,,,,,-1.785719,1812765,1.246871,160334,-2.276181,1288189,1.782656,177959,,,,,1.183959,655589,-4.145656,591836,,,,,,,,,,,,,,,,,-1.28562,2255440,1.871868,254113,-1.245134,2115778,1.876199,251112
477,,,,,,,,,,1.167089,1104870,-1.254285,35503,1.289686,1338898,-1.190469,39920,,,,,,,,,1.134831,1480991,1.096552,56846,1.020515,1216499,1.192283,48388,1.687731,204200,-1.385539,681530,1.142941,224943,-1.762253,494857,-1.0035,1062165,1.328968,57276,-1.31251,823866,-1.275108,44668,,,,,2.404521,652708,-1.95855,1199893,-1.074153,950514,-1.403875,34049,-1.248561,870759,-1.540109,35864
476,,,,,,1.274055,1669081,-2.07431,1638997,-1.453066,4251355,1.322088,384173,-1.303955,4390689,1.552499,406885,3.721638,1042460,-1.896868,1879270,,,,,-1.570747,4165106,1.565578,406871,-1.504178,3879919,2.053635,408048,2.394001,1435531,-2.889765,1619485,1.680794,1711473,-2.563426,1760088,-1.967387,3043413,1.246603,301806,,,,,,,,,,,,,-1.302652,3925703,1.219383,291940,-1.390264,3343590,1.016652,240096
474,,,,,,-1.150603,607385,-1.764373,1027926,-1.199322,3774674,-1.055881,201676,1.656636,723126,-1.273286,15693,3.439516,608733,-1.357761,1658850,,,,,,,,,-1.37771,2071399,2.133357,207277,1.593407,504909,-2.602569,950244,,,,,-2.421542,586998,-2.112967,27201,-2.08602,999649,-1.819042,60382,,,,,,,,,1.232914,3521750,-1.890198,70750,2.056361,1880901,-3.096735,15006
469,,,,,,-5.888058,49195,-1.69844,442594,1.486734,2078550,-2.523423,26061,1.399521,2286680,-2.305845,32437,1.222618,100738,-1.920696,545940,,,,,1.939512,4786040,-2.126016,46107,1.625395,3004483,-2.333869,26965,-1.423923,134877,-1.335003,1122777,-4.003721,64991,-1.857523,620701,1.603355,2578688,-2.318879,28044,1.372593,2319380,-2.872149,30989,,,,,,,,,5.155612,12335263,-2.393431,46801,4.640294,8638996,-3.842557,24615
467,,,,,,,,,,3.300266,888946,-1.100983,11508,3.553987,1517288,1.171657,22898,-1.149918,39812,-1.437754,405226,,,,,2.428392,2859532,-1.983812,23579,1.9737,655532,1.473317,16660,-1.414924,19973,3.619354,798286,-1.207455,144076,1.964326,1514174,3.300183,883280,3.030666,32798,2.747351,1236867,1.780178,42214,,,,,1.144165,37582,1.87824,534108,3.011939,769105,-1.11812,10692,2.712881,973733,-1.308311,13938
466,,-1.705492,86725,2.897132,2351521,,,,,4.691972,5378954,-2.039475,26441,4.747752,6478431,-2.139237,29199,-1.344611,101484,-1.548444,1121501,,,,,2.23186,11899824,-2.112136,100277,2.325223,2882088,-2.248728,18766,-1.475176,102097,3.910691,4596863,-1.975323,183972,3.448141,5552319,3.394915,4134141,1.524984,75088,3.20562,4382391,-1.210205,59501,,,,,,,,,2.852011,5543079,1.008188,91738,2.928049,5185140,-1.061849,84727
464,,1.540114,320936,1.406263,1608121,,,,,3.731299,5787473,1.7556,128088,3.275835,6417453,1.746795,156649,5.099735,166547,1.375877,571834,1.207606,637309,-3.143389,568735,3.9303,7990512,1.451701,117240,4.014467,5491066,1.821092,84806,2.392847,181761,3.139522,1861232,1.835997,222464,3.06815,1647267,3.631717,2710125,3.183054,96044,2.688267,1671870,2.074774,67965,-2.045509,104681,-1.059636,1057210,1.101148,163686,2.399215,3087606,4.231453,7264602,1.524273,122516,4.494635,5060748,1.462672,83670
463,,-3.053772,245308,2.131257,8761339,-3.378565,340403,3.37916,10085494,4.423667,23402671,-3.477252,71565,4.426758,21814553,-2.710515,83225,,,,,-1.116491,561692,-1.523819,1394131,,,,,1.821693,6622798,-1.949701,63484,-1.433811,380125,3.370193,14335881,-1.959392,398979,3.3101,11466002,3.164788,14558401,-1.542153,120612,2.799113,10433434,-1.99703,98312,,,,,,,,,4.109439,24425893,-2.251496,123596,3.772025,13819315,-2.362405,78788
462,,2.326076,721166,-13.149744,129384,2.408068,517788,-7.449934,74902,,,,,,,,,4.9219,529680,-6.438817,212704,2.226811,586934,-2.244989,397718,,,,,,,,,4.669587,797099,-10.529354,126527,3.631968,593429,-9.527554,75988,-2.310078,432910,10.278569,415629,-2.782025,337741,7.906982,391327,,,,,,,,,-1.401451,1032770,10.36373,702272,-1.570083,639322,9.842028,501914
457,,,,,,,,,,3.268505,2070131,1.123046,33458,,,,,,,,,1.099374,232831,-2.195852,326720,2.438546,1330498,-1.320117,16418,2.321734,839805,-2.410911,5108,1.954155,72383,-1.010791,286001,,,,,1.753109,926346,3.314172,70809,1.559569,704760,2.005847,47744,1.599636,54766,4.064353,727998,,,,,2.216037,1702503,3.368253,121150,2.527699,849439,3.550288,60614
456,,,,,,-4.084808,10089,7.291053,779781,7.609011,2050573,-1.404759,9024,7.406548,2058040,-2.835461,4486,-1.33249,9207,1.529346,238775,,,,,3.539932,791500,-1.530306,5804,3.404286,927078,-1.987488,4665,-1.773905,12252,3.767282,639023,-3.519722,9919,3.448214,533421,3.085608,775071,-1.282079,7922,3.557465,695958,-1.813852,5681,,,,,,,,,3.952878,696867,-1.657353,4980,,,,
445,,,,,,,,,,3.164749,1733062,1.386584,35717,2.060921,317730,1.852536,13074,,,,,,,,,2.188462,830351,2.254903,33986,1.659007,358003,1.41039,10362,,,,,,,,,1.409097,298084,2.395962,20494,1.501077,334323,1.198499,14060,,,,,,,,,-2.281398,82723,-2.979959,2965,1.77111,385223,1.137358,12568
444,,,,,,-1.403607,85491,5.528376,1721576,6.842114,3587638,1.378094,33990,8.808821,4707539,1.164544,28489,,,,,-5.495545,31343,1.116816,651653,2.026871,729326,1.522487,21762,2.315588,645124,1.308771,12414,1.822701,67209,3.815214,1097949,1.129454,102573,4.136666,1664618,2.330134,857303,1.640837,24410,3.351132,1044219,1.540073,25277,,,,,-1.967348,14787,3.509265,883821,1.594026,496686,1.253226,18282,2.012542,469970,1.632768,19371
442,,,,,,-1.122386,195455,6.610571,3763488,8.263744,11779207,-1.054049,63611,8.480639,11771370,-1.251195,50783,3.725901,185519,1.434803,909181,-4.44362,7955,1.403455,168058,2.757601,2832887,1.36355,55644,2.967242,2648179,-1.02176,29738,,,,,-1.146928,157782,4.780702,3833408,3.772634,4113980,1.282617,56554,3.899452,3963689,-1.140683,46937,,,,,,,,,2.361295,1965567,1.071633,41763,2.357994,1646390,-1.137707,31179
440,,,,,,-2.027191,31814,2.63,440181,3.799249,1074809,1.059049,14093,,,,,2.404586,40134,1.483844,315182,1.607992,137968,1.406788,408890,2.054589,729642,1.205927,17012,1.871326,593624,-1.158064,9326,,,,,,,,,1.659074,611039,-1.200675,12403,1.798752,483731,-1.957845,7235,,,,,,,,,1.321679,396416,-1.254546,11193,,,,
438,,-1.090638,325280,4.131941,8044123,1.620071,449116,4.997235,3595149,,,,,7.527282,16154381,1.980192,194538,5.396683,336103,-1.580311,501538,,,,,1.50484,1815967,2.855292,136873,1.404834,1819789,3.452874,152280,3.34973,512068,2.901129,3461275,-1.013306,26161,4.003645,470273,1.854988,1924448,2.295447,96290,,,,,,,,,1.032901,57106,5.534448,2649014,1.439964,1587855,1.944879,100406,1.359053,1442561,1.722538,92890
437,,2.061698,324217,2.574157,2221427,-1.319109,411358,6.411331,9028413,7.220629,12356230,1.790712,144142,12.096584,17025647,-3.015664,21365,2.658492,218048,1.38389,1444506,,,,,2.733978,6083590,1.237178,109357,2.651459,5874500,1.295893,97751,1.777761,500893,4.897962,10770554,2.522722,623113,3.444786,3770155,3.740043,7759775,-1.052481,79709,1.900941,2191605,1.846296,112119,,,,,1.707595,50393,2.643011,675260,2.657685,4909258,-1.246895,69357,2.551913,4594922,-1.47063,62203
436,,,,,,-1.462337,103510,9.624028,3780501,10.267425,8860468,-1.353093,30000,11.549165,11804427,-1.031698,45351,2.083477,35162,1.761132,378249,,,,,3.435622,1463196,1.235613,20904,3.649729,1790637,1.321802,22079,1.713859,98003,4.955722,2211680,1.403211,139366,6.259071,2754503,3.029611,1243591,1.003652,16658,3.791718,1653316,1.053991,24207,,,,,,,,,2.17763,832838,-1.121752,15962,2.512662,950364,-1.142233,16823
431,,,,,,-4.125661,56943,-1.870402,325958,1.646226,1228862,-1.482373,23687,1.676077,1316515,-1.796565,20014,1.446845,69867,-1.249263,491923,,,,,1.388182,1273859,-1.887349,19314,1.500661,1278746,-1.599389,18139,-1.363318,85050,-1.380633,655457,,,,,1.496625,1221484,-1.569223,21030,1.963227,1713082,-1.742475,26377,-6.329049,7810,1.130191,292274,-7.120932,4584,-1.165485,242472,2.395055,1802822,-1.417055,24869,,,,
430,,,,,,-4.308521,33492,1.565449,586234,,,,,2.930993,1953493,-2.805516,10875,-1.313976,26454,1.29379,572326,-2.086812,22149,1.504007,235489,2.381557,1696449,-2.379639,11891,2.24769,1523818,-1.933928,11935,,,,,-3.280195,26896,-1.115226,350529,1.589637,1311642,-2.43065,13726,1.666802,814235,-3.824975,6727,-1.114508,292416,6.979366,11900056,,,,,1.882512,1944724,-1.357147,35637,2.079988,1603226,-1.330595,29430
429,,,,,,,,,,-1.704451,236946,2.716359,51603,1.439459,314860,2.263462,22664,1.208324,38027,-1.683685,237875,,,,,3.160678,1957731,-1.372125,17932,5.240102,1300433,-1.647655,5128,2.876701,192314,1.818972,949059,2.149272,76183,4.38356,688483,2.402043,1363749,2.893275,66419,3.614619,1344020,1.93626,37922,-1.5992,43462,7.331435,2665940,,,,,2.159193,841422,2.62957,47975,2.362458,608938,2.294815,30051
425,,3.368944,5930735,-13.039483,740868,2.828701,6776415,-11.361858,547175,-2.566298,4004917,4.587778,2217976,-5.991261,1571093,5.195103,2238511,-4.556851,93344,-11.171002,484574,,,,,-4.16937,2443345,-2.79193,144944,-8.346882,1028742,-2.649019,110360,8.769185,12316044,-10.033637,1092458,6.23224,11758084,-17.57633,475624,-3.923577,2892725,5.463086,2507127,-6.923532,1289689,4.469062,2101906,,,,,,,,,-6.978971,1428125,5.697234,2658456,-11.977912,654066,5.329738,2121343
423,,,,,,-15.573645,13399,1.243711,673511,2.742585,2648825,-5.65196,8038,3.117493,3601303,-7.178084,7367,,,,,,,,,2.737895,5553018,-9.235198,8724,2.831357,2856030,-6.975964,4923,-7.290744,32138,-1.952725,936485,,,,,1.550632,1451525,-6.154454,6150,,,,,,,,,,,,,-1.027716,1715060,-6.305506,13087,,,,
420,,,,,,1.13836,418799,-1.275859,748318,1.94107,16851269,2.167824,885257,1.980036,7065352,2.595545,423969,-2.790514,76824,-1.192252,2288306,1.240185,149618,-1.060374,385409,1.394212,9511811,-2.868004,94494,2.639222,8660593,-6.602939,16920,,,,,3.697751,3792682,-3.298627,1377765,1.28958,7047283,2.794988,617593,1.581095,6335239,2.051263,432923,,,,,1.824792,1629466,-10.756369,718709,1.082713,2856422,2.288093,282612,1.14494,2406416,1.783226,190413
419,,1.187391,807900,-1.831518,2038633,-1.609825,321204,-1.051548,1276125,,,,,2.887028,9843358,1.049704,163834,-3.220418,91816,1.112291,4185524,,,,,2.281133,17516627,-3.892439,78366,2.550332,9457053,-5.479522,23040,2.168755,1292968,-1.787851,2602538,-1.130438,292895,-1.589656,922901,2.473207,7829678,-1.112037,115110,2.520916,8328960,-1.314006,132440,,,,,1.479437,327370,-10.585072,180982,1.526995,4399993,1.224997,165256,1.447604,4004781,1.406999,197754
418,,-1.481594,148281,-1.777046,678426,-2.359,109049,1.042719,696113,1.009043,1439728,1.03545,69495,1.305799,1557169,-1.164365,46883,,,,,,,,,1.573975,2639153,-1.137347,58563,1.661361,1878148,-1.220348,31539,-1.620608,77509,-2.059832,475937,-2.156521,113500,-2.064596,525308,1.02926,921915,-1.419224,25519,1.164762,1102508,-2.275654,21909,,,,,1.03899,311074,-2.723807,951618,1.366122,1337268,-1.589836,28826,1.530659,1490806,-1.770177,27953
417,,,,,,,,,,-1.209341,226091,1.12741,14500,1.301085,355528,-1.69518,7379,,,,,,,,,2.134041,847074,-1.078944,14614,2.209329,934475,-1.526594,9433,,,,,-2.419171,30248,-1.247584,259892,1.908016,660790,-1.150736,12169,2.161409,627284,-1.909157,8007,-1.286015,339353,-2.161402,1056358,-1.250404,79730,-2.528048,341408,1.691523,724783,-1.220214,16440,2.138011,858992,-1.493292,13669
416,,-1.895807,366943,-1.802576,2117803,-1.644754,561376,-1.016094,2358217,1.366836,5809101,-1.534282,130299,,,,,1.48108,351260,-1.160666,2600422,,,,,1.596818,9587825,-1.817196,131254,1.606903,8070736,-1.609872,106218,-1.490592,341598,-1.871295,2123650,-2.323347,336757,-1.846697,1877304,1.115004,5137052,-2.148683,86699,1.082536,4973817,-2.758034,87747,,,,,,,,,1.412592,6262149,-2.49116,83313,1.409788,5568074,-2.888934,69457
414,,-1.761425,70860,-1.498516,457078,-2.421513,60827,1.019049,389530,2.631361,1542364,-3.144559,8768,,,,,1.9163,97111,-1.038101,621250,-11.509653,12449,1.729083,839259,1.867489,1760339,-1.616495,23164,1.846982,1617587,-1.536904,19401,-1.827028,44956,-1.796421,356842,,,,,1.451494,1038365,-1.979179,14615,1.40053,1031976,-2.434244,15944,,,,,,,,,1.634317,1135453,-2.055793,15822,,,,
412,,-1.412238,380866,-1.692435,1744033,-1.123908,107379,1.003823,314391,1.173976,4298940,-1.136303,151587,1.423446,7340291,-1.374896,171691,1.91401,351750,-1.212489,1928915,,,,,1.651041,7849943,-1.325957,142439,1.694422,7018957,-1.122632,125626,-1.161301,342634,-2.231749,1391493,-1.634925,397628,-2.096401,1374042,1.291302,4638056,-1.215306,119501,1.292315,5001875,-1.598273,127555,-2.039559,242908,-2.058573,1259101,-1.685656,202307,-2.779548,1062166,1.812881,6969957,-1.288851,139658,1.810287,5654439,-1.456068,108984
410,,-3.533893,181425,1.152861,4056149,-4.659681,106986,1.894659,2451189,5.150525,24773172,-2.990241,75662,5.041582,26300898,-2.728703,87517,,,,,,,,,3.260882,17287701,-2.277707,92460,3.107185,7646923,-2.185241,38343,-1.527237,402253,2.789326,13373841,-2.318476,193215,2.532328,5026468,3.084207,14974377,-2.496951,78622,,,,,,,,,,,,,2.77622,14638752,-2.17628,113434,2.93997,16904898,-2.253651,129624
409,,-1.486267,50396,-1.330987,308820,-1.478452,75533,1.231616,356929,1.609167,733809,-1.089794,19683,1.499168,919710,-1.470706,19095,2.58803,75564,1.95751,727362,,,,,4.554565,2791910,-1.222343,19921,3.179276,2542817,1.203217,32764,-1.352255,47329,1.010877,504935,-1.441965,66273,1.008122,426878,3.240605,2091508,-1.065729,24487,3.191868,1942146,-1.183599,27078,,,,,,,,,2.761028,1524957,-1.675934,15429,1.597313,1144195,-2.412498,15085
408,,-1.280686,48735,-1.131803,302621,,,,,1.51972,443147,1.087025,14910,,,,,2.613433,62022,1.987459,600252,,,,,4.223075,2519707,-1.184292,20013,5.143835,1919765,1.079917,13722,,,,,-1.438085,37866,1.1726,282933,3.054902,1893467,1.157945,29020,2.990808,2087676,-1.046451,35135,,,,,,,,,3.678301,1215433,-1.565952,9879,3.251583,807992,-1.622479,7781
407,,,,,,,,,,1.773749,304675,1.0556,8529,,,,,1.760074,20535,2.041273,303086,,,,,3.995051,1290075,1.004716,12888,4.195347,1116389,-1.616648,5604,-1.273728,19233,1.294008,247407,-2.099341,14368,1.388857,185625,4.238131,817605,-1.023543,7621,4.001347,906595,-2.322722,5138,,,,,,,,,2.839703,815175,-1.687541,7964,3.510338,586261,-1.55943,5441
406,,,,,,,,,,1.725426,1453226,-1.098116,36078,1.895985,566854,-1.579475,8665,2.027669,41447,-1.166394,223024,-3.402819,23337,1.123199,302151,5.030637,3058371,-2.151254,11226,5.1897,2096941,-1.522418,9036,,,,,-2.659123,11391,2.275288,305377,4.308006,2217714,-1.512395,13763,4.878093,1830930,-1.722723,11476,,,,,-1.461991,29944,-2.038609,185912,4.285541,2344395,-1.138233,22501,4.122941,1181773,-1.095979,13287
405,,,,,,-1.991151,39969,1.304167,269354,,,,,,,,,,,,,-1.199668,47279,-1.259573,152542,3.585593,2568519,-1.428936,19914,3.362306,2177086,-1.287508,17122,1.62159,81893,-1.18705,332038,-1.131333,67223,-1.035129,325547,2.404447,1054552,-1.716728,10330,2.695317,1137609,-2.740899,8111,,,,,,,,,2.031046,870341,-3.201236,6267,2.181409,787598,-2.318374,7912
404,,1.641254,245006,1.439349,1179108,-2.022575,17419,2.644799,241815,,,,,1.944665,1727273,-1.966693,20674,2.332819,195214,-1.375805,774059,-2.601746,69091,-1.161902,524083,4.10364,7911341,-1.119041,68436,4.554215,4975313,-1.685045,22073,1.239285,124440,1.702044,1333862,-1.046697,90045,2.463106,1028640,3.702343,6028388,-1.529931,43033,4.405301,3869657,-2.859936,16178,-1.621368,74937,-1.034636,614383,-1.598802,44478,-1.306362,471263,3.075456,6165892,-1.157801,81070,3.518861,2181310,-2.761114,11406
403,,-1.845391,100330,2.592953,2634513,-2.540902,177753,3.481806,4081052,8.707167,19565774,-2.137465,49451,8.273292,24635142,-1.744856,78120,,,,,,,,,3.82618,7401145,-1.911757,40193,3.722089,7493334,-1.486803,46100,-1.276973,183429,5.413269,9896014,-1.851089,195956,5.50308,8844867,3.642112,5483600,-2.146015,28368,,,,,-1.509422,69977,-1.289892,428412,-1.085625,12526,3.556722,418725,2.267176,2962503,-2.287896,26739,,,,
