BVAExport,Image,Gel_1_Run_1_Pig_1807_45034 CY3.gel,,Gel_1_Run_1_Pig_1807_45034 CY5.gel,,Gel_1_Run_2_Pig_1807_45046 CY3.gel,,Gel_1_Run_2_Pig_1807_45046 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_3_Run_1_Pig_1209_45036 CY3.gel,,Gel_3_Run_1_Pig_1209_45036 CY5.gel,,Gel_3_Run_2_Pig_1209_45048 CY3.gel,,Gel_3_Run_2_Pig_1209_45048 CY5.gel,,Gel_4_Run_1_Pig_1906_45037 CY3.gel,,Gel_4_Run_1_Pig_1906_45037 CY5.gel,,Gel_4_Run_2_Pig_1906_45049 CY3.gel,,Gel_4_Run_2_Pig_1906_45049 CY5.gel,,Gel_5_Run_1_Pig_3908_45038 CY3.gel,,Gel_5_Run_1_Pig_3908_45038 CY5.gel,,Gel_5_Run_2_Pig_3908_45050 CY3.gel,,Gel_5_Run_2_Pig_3908_45050 CY5.gel,,Gel_6_Run_1_Pig_3106_45039 CY3.gel,,Gel_6_Run_1_Pig_3106_45039 CY5.gel,,Gel_6_Run_2_Pig_3106_45051 CY3.gel,,Gel_6_Run_2_Pig_3106_45051 CY5.gel,,Gel_7_Run_1_Pig_2107_45040 CY3.gel,,Gel_7_Run_1_Pig_2107_45040 CY5.gel,,Gel_7_Run_2_Pig_2107_45052 CY3.gel,,Gel_7_Run_2_Pig_2107_45052 CY5.gel,,Gel_8_Run_1_Pig_2712_45041 CY3.gel,,Gel_8_Run_1_Pig_2712_45041 CY5.gel,,Gel_8_Run_2_Pig_2712_44495 CY3.gel,,Gel_8_Run_2_Pig_2712_44495 CY5.gel,
,Group,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,
Master No.,ProteinID,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume
484,,,,,,-1.278754,452916,-3.383227,444259,1.075564,3241271,1.265318,169933,-1.340189,2125760,1.594948,208004,4.621572,922310,-2.416306,1051081,,,,,-2.74327,1243096,-1.272186,106481,-2.56328,1408448,-1.081603,113641,1.774979,792374,-4.583507,760134,1.222633,803006,-3.924493,741547,-1.285696,2462438,2.811178,359866,-1.240754,2747716,2.22121,398870,,,,,,,,,1.287545,4357791,1.860762,294851,1.234827,3946695,1.716527,278728
483,,,,,,,,,,-1.48517,2380599,1.434932,226096,-1.48517,2380599,1.396964,226096,3.476877,786412,-2.004518,1435991,,,,,,,,,-2.907977,1128076,-1.33526,83643,1.905448,854037,-4.096217,853980,1.323032,1005707,-3.59353,937302,-1.632955,3115455,1.373846,282607,-2.036376,1776641,1.002637,191067,,,,,,,,,1.873496,8206182,2.336035,479044,1.702635,7238668,2.141121,462467
482,,1.529011,222397,-1.829442,436301,1.163988,244917,1.185599,647397,1.365063,2754504,1.893516,170278,4.898466,9720887,1.340171,121745,5.340693,763036,-1.824787,996406,,,,,1.097775,4867707,1.801801,317371,1.240959,3107184,2.339374,199423,2.43965,809267,-1.048654,2468784,1.622964,618205,-1.019552,1655441,1.205147,3626276,1.836262,223411,1.357095,3326650,2.909362,375646,,,,,1.852771,512472,-6.748713,354825,1.272249,3572801,1.672578,219903,1.451355,2863640,1.781219,178552
481,,1.811213,385359,1.50412,1756164,1.059533,225073,2.103788,1159774,,,,,,,,,,,,,,,,,2.139523,4549627,1.091651,92213,2.222114,4749381,1.423756,103603,2.914699,608087,1.5102,2458995,1.650362,200513,2.544653,1369908,,,,,,,,,,,,,,,,,3.218777,2485770,2.370271,85699,1.837583,2700851,1.511416,112860
480,,1.663236,1451311,-3.33986,1433721,1.178273,859971,-2.396548,790341,-1.171546,656229,1.080787,37030,1.416194,3221535,1.44887,150874,4.114674,509535,-2.922482,539247,,,,,-1.785719,1812765,1.246871,160334,-2.276181,1288189,1.782656,177959,,,,,1.183959,655589,-4.145656,591836,,,,,,,,,,,,,,,,,-1.28562,2255440,1.871868,254113,-1.245134,2115778,1.876199,251112
476,,,,,,,,,,1.289686,1338898,-1.158969,39920,1.289686,1338898,-1.190469,39920,,,,,,,,,1.134831,1480991,1.096552,56846,1.020515,1216499,1.192283,48388,1.687731,204200,-1.385539,681530,1.142941,224943,-1.762253,494857,-1.0035,1062165,1.328968,57276,-1.31251,823866,-1.275108,44668,,,,,2.404521,652708,-1.95855,1199893,-1.074153,950514,-1.403875,34049,-1.248561,870759,-1.540109,35864
475,,,,,,1.274055,1669081,-2.07431,1638997,,,,,-1.303955,4390689,1.552499,406885,3.721638,1042460,-1.896868,1879270,,,,,-1.570747,4165106,1.565578,406871,-1.504178,3879919,2.053635,408048,2.394001,1435531,-2.889765,1619485,1.680794,1711473,-2.563426,1760088,-1.967387,3043413,1.246603,301806,,,,,,,,,1.507982,613267,-8.921185,394655,-1.302652,3925703,1.219383,291940,-1.390264,3343590,1.016652,240096
473,,,,,,-1.150603,607385,-1.764373,1027926,,,,,1.656636,723126,-1.273286,15693,3.439516,608733,-1.357761,1658850,,,,,,,,,-1.37771,2071399,2.133357,207277,1.593407,504909,-2.602569,950244,,,,,-2.421542,586998,-2.112967,27201,-2.08602,999649,-1.819042,60382,,,,,,,,,1.232914,3521750,-1.890198,70750,2.056361,1880901,-3.096735,15006
468,,,,,,-5.888058,49195,-1.69844,442594,1.399521,2286680,-2.244833,32437,1.399521,2286680,-2.305845,32437,1.222618,100738,-1.920696,545940,,,,,1.939512,4786040,-2.126016,46107,1.625395,3004483,-2.333869,26965,-1.423923,134877,-1.335003,1122777,-4.003721,64991,-1.857523,620701,1.603355,2578688,-2.318879,28044,1.372593,2319380,-2.872149,30989,,,,,,,,,5.155612,12335263,-2.393431,46801,4.640294,8638996,-3.842557,24615
466,,,,,,,,,,3.553987,1517288,1.203501,22898,3.553987,1517288,1.171657,22898,-1.149918,39812,-1.437754,405226,,,,,2.428392,2859532,-1.983812,23579,1.9737,655532,1.473317,16660,-1.414924,19973,3.619354,798286,-1.207455,144076,1.964326,1514174,3.300183,883280,3.030666,32798,2.747351,1236867,1.780178,42214,,,,,1.144165,37582,1.87824,534108,3.011939,769105,-1.11812,10692,2.712881,973733,-1.308311,13938
